crop,R2,RMSE,nRMSE,MAE
BARLEY,-0.3386727637540774,756.1690234638431,-5.100887962778249,598.559299718148
CHICKPEA,0.18620074754175142,394.09875080780597,-10.425892444312964,306.3202493600499
LINSEED,0.27877862349602656,190.79911615565868,60.438321351622754,144.3923620064731
RAPESEED AND MUSTARD,0.5872414324178061,305.8095853185431,-5.384888698277653,249.84770817990895
SORGHUM,0.013568128636239352,379.47278186814316,-11.883174307248712,282.39648896742153
SUNFLOWER,0.41825113544685133,380.75540893330617,10.52939445302919,305.6145484495145
WHEAT,0.33075232720662706,805.3288617958574,-5.91536035775145,619.4356944914523
