crop,R2,RMSE,nRMSE,MAE
COTTON,0.1256224993250864,295.96534277534096,-11.879132239121647,182.67832837382326
GROUNDNUT,0.2779281476532902,354.334036005123,11.394073812429852,232.5780162132087
KHARIF SORGHUM,0.14691127835638895,401.1974740811639,-18.607854562884274,299.8622945583063
MAIZE,0.3907549774419099,730.6279558562726,25.396450442878557,531.5911886530207
PEARL MILLET,0.1653765544412794,497.1982022524275,-22.30134327375804,409.2173776121422
PIGEONPEA,0.023127179818557275,355.8370159654925,39.306794299260304,276.8135000746301
RICE,0.4820645940860262,411.4293212406004,-11.317995494317934,308.87571861355855
SESAMUM,0.22750153135835416,214.97524195251034,8.351677688849078,135.79687095863198
SOYABEAN,-0.41777388229224965,409.41328821830484,-2.9590803882536814,336.94439697780206
